▶ Playwright 크롤러 시작 · limit=1000 concurrency=3 dryRun=false
✓ 로그인
✓ 대상 345 건
✓ Chromium 실행
  [1/345] ZINDY BEAUTY → (none)   7.6s/lead · found=0
  [2/345] Areum CR (areumcr.com) → (none)   5.6s/lead · found=0
  [3/345] Alexandar Cosmetics → (none)   3.8s/lead · found=0
  [4/345] Adore Beauty → (none)   5.2s/lead · found=0
  [5/345] Zimolange (zimolange.com) → (none)   4.2s/lead · found=0
  [6/345] Zalora (Global Fashion Group) → (none)   4.4s/lead · found=0
  [7/345] Zimolange → (none)   4.8s/lead · found=0
  [8/345] Watsons Singapore → (none)   4.4s/lead · found=0
  [9/345] Yuna (yuna-gh.com) → (none)   4.2s/lead · found=0
  [10/345] Walmart de México y Centroamérica → (none)   3.9s/lead · found=0
  [11/345] Vitapharm Beauty → (none)   3.7s/lead · found=0
  [12/345] Alshaya Group → (none)   3.6s/lead · found=0
  [13/345] Vitapharm Beauty → (none)   3.4s/lead · found=0
  [14/345] Walmart — K-beauty buying → (none)   3.8s/lead · found=0
  [15/345] Ulta Beauty — K-beauty category → (none)   3.8s/lead · found=0
  [16/345] Tokopedia (GoTo Group) → (none)   3.9s/lead · found=0
  [17/345] Tira (Reliance Retail) → (none)   3.8s/lead · found=0
  [18/345] THEKSHOP (thekshop.ca) → (none)   3.6s/lead · found=0
  [19/345] The Lavish Beauty Bay → (none)   3.6s/lead · found=0
  [20/345] Target — K-beauty category → (none)   3.6s/lead · found=0
  [21/345] The Beauty Store Malta (thebeautystorema → (none)   3.5s/lead · found=0
  [22/345] The SM Store → (none)   3.4s/lead · found=0
  [23/345] The Beauty Box Mexico (thebeautyboxmexic → (none)   3.3s/lead · found=0
  [24/345] Vincom Retail (a member of Vingroup) → (none)   3.5s/lead · found=0
  [26/345] Sumin K-Beauty Panama → (none)   3.3s/lead · found=0
  [26/345] SweetCare Andorra → (none)   3.3s/lead · found=0
  [27/345] Sunshine → (none)   3.2s/lead · found=0
  [28/345] SUAMI Korean Beauty Shop → (none)   3.2s/lead · found=0
  [29/345] Sumin K-Beauty Panama → (none)   3.4s/lead · found=0
  [30/345] Sumin K-Beauty → (none)   3.3s/lead · found=0
  [32/345] Stv-mart → (none)   3.1s/lead · found=0
  [32/345] SoKoSkins (sokoskins.shop) → (none)   3.1s/lead · found=0
  [33/345] STVMART → (none)   3.1s/lead · found=0
  [34/345] SoKoSkins (sokoskins.shop) → (none)   3.2s/lead · found=0
  [35/345] SoKoSkins (sokoskins.shop) → (none)   3.1s/lead · found=0
  [36/345] SoKoSkins → (none)   3.1s/lead · found=0
  [37/345] Sociolla (Social Bella) → (none)   3.0s/lead · found=0
  [38/345] SoKoSkins → (none)   3.2s/lead · found=0
  [39/345] Soko Store (sokostore.com) → (none)   3.1s/lead · found=0
  [40/345] Skinko → (none)   3.2s/lead · found=0
  ↺ 브라우저 재시작 (누적 40건 · 발견 0건)
  [42/345] Skinimo (skinimo.ge) → (none)   3.2s/lead · found=0
  [42/345] Skinimo.ge → (none)   3.2s/lead · found=0
  [43/345] SkinKiss Shop (skinkissnic.com) → (none)   3.2s/lead · found=0
  [44/345] Skinkorean Albania → (none)   3.2s/lead · found=0
  [45/345] Skin Republik (skinrepublik.co.ke) → (none)   3.2s/lead · found=0
  [46/345] Skin Store Pakistan (skinstorepakistan.c → (none)   3.3s/lead · found=0
  [47/345] Skincare.ge → (none)   3.3s/lead · found=0
  [48/345] Shiny Skin BD → (none)   3.3s/lead · found=0
  [49/345] Shoppers Stop → (none)   3.2s/lead · found=0
  [50/345] Sephora Poland (LVMH) → (none)   3.2s/lead · found=0
  [51/345] Sephora USA — K-beauty category → (none)   3.1s/lead · found=0
  [52/345] Sephora Romania (LVMH) → (none)   3.1s/lead · found=0
  [53/345] Seven Blossoms (sevenblossoms.co.za) → (none)   3.1s/lead · found=0
  [54/345] Skin Care (skincare.ge) → (none)   3.1s/lead · found=0
  [55/345] Sephora Mexico — K-beauty (skincare core → (none)   3.1s/lead · found=0
  [56/345] Sephora Singapore → (none)   3.0s/lead · found=0
  [57/345] Sephora France (LVMH) → (none)   3.0s/lead · found=0
  [58/345] Seven Blossoms (sevenblossoms.co.za) → (none)   2.9s/lead · found=0
  [59/345] Sekelem Beaute (sekelem.com) → (none)   2.9s/lead · found=0
  [60/345] Saks Fifth Avenue → (none)   2.9s/lead · found=0
  [61/345] Saran Cute (sarancute.com.mx) → (none)   2.9s/lead · found=0
  [62/345] Selfcare ZW (selfcare-zw.com) → (none)   2.9s/lead · found=0
  [63/345] Sapphire Beauty Booth → (none)   2.9s/lead · found=0
  [64/345] Recap Beauty → (none)   2.9s/lead · found=0
  [65/345] PURESEOUL → (none)   3.1s/lead · found=0
  [66/345] PURESEOUL - Ilham Ali (new contact) → (none)   3.1s/lead · found=0
  [67/345] Pieleza Ecuador → (none)   3.2s/lead · found=0
  [68/345] Pugy Korean Beauty → (none)   3.3s/lead · found=0
  [69/345] OVS S.p.A. (OVS Beauty) → (none)   3.2s/lead · found=0
  [70/345] OOTD Beauty (LOOKS by Tops) → (none)   3.2s/lead · found=0
  [71/345] Nuty Cosmetics → (none)   3.2s/lead · found=0
  [72/345] Nykaa (FSN E-Commerce Ventures) → (none)   3.2s/lead · found=0
  [73/345] OOTD Beauty (Tops LOOKS Bangkok) → (none)   3.2s/lead · found=0
  [74/345] O-Kare Shop (okareshop.com) → (none)   3.2s/lead · found=0
  [75/345] Nourish Your Skincare (nourishyourskinca → (none)   3.2s/lead · found=0
  [76/345] Namshi (Apparel Group / Noon) → (none)   3.1s/lead · found=0
  [77/345] Notino → (none)   3.2s/lead · found=0
  [78/345] Nahdi Medical (Nahdi Online) → (none)   3.4s/lead · found=0
  [79/345] Nayda KBeauty → (none)   3.6s/lead · found=0
  [80/345] Nayda KBeauty → (none)   3.5s/lead · found=0
  ↺ 브라우저 재시작 (누적 80건 · 발견 0건)
  [81/345] MyDutyFree (Baku, Heydar Aliyev Airport) → (none)   3.5s/lead · found=0
  [82/345] Namshi → (none)   3.5s/lead · found=0
  [83/345] Myntra Beauty (Flipkart Group / Walmart) → (none)   3.5s/lead · found=0
  [84/345] MohammediKurdi → (none)   3.5s/lead · found=0
  [85/345] MohammediKurdi (mohammedikurdi.com) → (none)   3.4s/lead · found=0
  [86/345] MohammediKurdi (mohammedikurdi.com) → (none)   3.4s/lead · found=0
  [87/345] Mizuki (mizukimv.com) → (none)   3.5s/lead · found=0
  [88/345] Nayda KBeauty (naydakbeauty.com) → (none)   3.7s/lead · found=0
  [89/345] Mimimi.KG → (none)   3.7s/lead · found=0
  [90/345] Moida K-Beauty → (none)   3.8s/lead · found=0
  [91/345] Mizuki (mizukimv.com) → (none)   3.7s/lead · found=0
  [92/345] Mimi K-Beauty (IMI Beauty) — Mall of San → (none)   3.8s/lead · found=0
